                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.61422,                0.49572,                 1.1233,                0.60789,                0.61907,                0.64874,                0.55096,                    nan,                    nan,                    nan,             0.00052204,             0.00052204,             0.00052204
                    131,                0.60643,                0.48242,                 1.1113,                0.60547,                0.63373,                0.61948,                0.51767,                    nan,                    nan,                    nan,             0.00051904,             0.00051904,             0.00051904
                    132,                0.60681,                0.48588,                 1.1113,                0.64786,                0.60306,                0.67082,                0.57255,                    nan,                    nan,                    nan,             0.00051604,             0.00051604,             0.00051604
                    133,                0.60585,                 0.5178,                 1.1127,                0.57438,                0.62698,                0.66162,                0.55788,                    nan,                    nan,                    nan,             0.00051304,             0.00051304,             0.00051304
                    134,                0.60006,                0.49254,                 1.1084,                0.63913,                0.63936,                0.69138,                0.58613,                    nan,                    nan,                    nan,             0.00051004,             0.00051004,             0.00051004
                    135,                0.59943,                0.48781,                 1.1086,                0.58157,                0.62058,                 0.6286,                0.53008,                    nan,                    nan,                    nan,             0.00050704,             0.00050704,             0.00050704
                    136,                0.61128,                0.49111,                 1.1196,                0.53961,                0.69527,                0.60759,                0.50904,                    nan,                    nan,                    nan,             0.00050404,             0.00050404,             0.00050404
                    137,                0.60355,                0.49135,                 1.1084,                 0.5683,                0.64891,                0.58145,                0.48836,                    nan,                    nan,                    nan,             0.00050104,             0.00050104,             0.00050104
                    138,                0.59455,                0.48942,                 1.1092,                0.61055,                0.64226,                0.63643,                0.54305,                    nan,                    nan,                    nan,             0.00049804,             0.00049804,             0.00049804
                    139,                0.59769,                0.48225,                 1.1091,                0.64597,                0.64225,                0.67393,                0.57615,                    nan,                    nan,                    nan,             0.00049504,             0.00049504,             0.00049504
                    140,                 0.5914,                0.47394,                 1.1081,                0.67201,                0.61848,                 0.6784,                0.57555,                    nan,                    nan,                    nan,             0.00049204,             0.00049204,             0.00049204
                    141,                0.61359,                0.49125,                 1.1203,                 0.6241,                0.66004,                0.68749,                0.58495,                    nan,                    nan,                    nan,             0.00048904,             0.00048904,             0.00048904
                    142,                0.59968,                 0.4817,                 1.1073,                0.60283,                 0.6563,                0.66167,                0.56752,                    nan,                    nan,                    nan,             0.00048604,             0.00048604,             0.00048604
                    143,                0.57939,                0.45563,                  1.096,                0.59467,                0.65134,                0.66077,                0.56789,                    nan,                    nan,                    nan,             0.00048304,             0.00048304,             0.00048304
                    144,                 0.5827,                0.45977,                 1.0999,                0.62156,                0.63918,                0.67774,                0.58087,                    nan,                    nan,                    nan,             0.00048004,             0.00048004,             0.00048004
                    145,                0.59137,                0.48378,                 1.1061,                0.60844,                0.65428,                0.65849,                0.56165,                    nan,                    nan,                    nan,             0.00047704,             0.00047704,             0.00047704
                    146,                0.58932,                0.47346,                 1.1018,                0.63811,                0.65138,                0.67141,                0.56939,                    nan,                    nan,                    nan,             0.00047404,             0.00047404,             0.00047404
                    147,                0.58238,                0.46423,                 1.0892,                0.62808,                0.60877,                0.65365,                0.55313,                    nan,                    nan,                    nan,             0.00047104,             0.00047104,             0.00047104
                    148,                0.58078,                0.47729,                 1.1005,                0.60145,                 0.6299,                0.65153,                0.55527,                    nan,                    nan,                    nan,             0.00046804,             0.00046804,             0.00046804
                    149,                0.57667,                0.45731,                 1.0927,                0.56657,                0.64975,                0.62277,                0.52827,                    nan,                    nan,                    nan,             0.00046504,             0.00046504,             0.00046504
                    150,                0.59606,                0.47723,                 1.1003,                0.59796,                 0.6994,                0.70881,                0.60151,                    nan,                    nan,                    nan,             0.00046204,             0.00046204,             0.00046204
                    151,                 0.6017,                0.47026,                 1.1084,                0.63607,                 0.6232,                0.65497,                 0.5533,                    nan,                    nan,                    nan,             0.00045904,             0.00045904,             0.00045904
                    152,                0.58068,                0.45664,                 1.0999,                0.62815,                0.61814,                0.63752,                0.53941,                    nan,                    nan,                    nan,             0.00045605,             0.00045605,             0.00045605
                    153,                0.57624,                0.45827,                 1.0976,                0.59416,                0.61987,                0.62815,                0.53033,                    nan,                    nan,                    nan,             0.00045305,             0.00045305,             0.00045305
                    154,                 0.5772,                 0.4605,                 1.0924,                0.63897,                0.60398,                0.65517,                0.55607,                    nan,                    nan,                    nan,             0.00045005,             0.00045005,             0.00045005
                    155,                0.57401,                0.46193,                 1.0913,                0.59847,                0.62635,                0.63342,                0.53594,                    nan,                    nan,                    nan,             0.00044705,             0.00044705,             0.00044705
                    156,                0.57357,                 0.4504,                 1.0917,                0.60863,                0.63989,                0.63254,                0.53286,                    nan,                    nan,                    nan,             0.00044405,             0.00044405,             0.00044405
                    157,                0.59064,                0.46028,                  1.108,                0.60311,                0.64146,                0.64317,                0.54645,                    nan,                    nan,                    nan,             0.00044105,             0.00044105,             0.00044105
                    158,                0.56852,                0.44627,                  1.084,                0.65442,                0.63913,                0.62667,                0.53223,                    nan,                    nan,                    nan,             0.00043805,             0.00043805,             0.00043805
